fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
4,packing_seed_46549,46549,gnn,3,0.1394535359549674,0.1121647598751567,0.12153241233901685,0.16918459118522747,24.32918869543701,0.4785839497036708,14.74596222607616,-17.573146006960982,1,50,0.25,0.0013147478457540274,10.640467983903363,56
4,packing_seed_46549,46549,gnn,ensemble,0.1435340894986019,0.1121647598751567,0.12153241233901685,0.16918459118522747,27.967188320431813,0.5501477100635477,18.103546812031503,-15.16125168783412,1,50,0.26582278481012656,0.0037686489522457123,26.124778653727844,60.0
5,packing_seed_55291,55291,mlp,1,0.13278840435615125,0.11329851166994748,0.12601608422575022,0.18219071624693065,17.202249525554425,0.2829041806090689,5.374171219499901,-27.115713088158888,1,50,0.21951219512195122,0.00012197904288768768,2.2344197160564363,116
5,packing_seed_55291,55291,mlp,2,0.1352561957237692,0.11329851166994748,0.12601608422575022,0.18219071624693065,19.3803817280382,0.3187252344245313,7.332485813053746,-25.761203144703128,1,50,0.25,0.0001179249957203865,2.379703612998128,132
5,packing_seed_55291,55291,mlp,3,0.13624796953333917,0.11329851166994748,0.12601608422575022,0.18219071624693065,20.255745221302025,0.33312125812067706,8.119507418798344,-25.216842910548397,1,50,0.21951219512195122,0.00012218113988637924,3.7787089771591127,241
5,packing_seed_55291,55291,mlp,ensemble,0.1344519312257234,0.11329851166994748,0.12601608422575022,0.18219071624693065,18.670518477240417,0.30705098908742534,6.6942621267781055,-26.20264413281348,1,50,0.2345679012345679,0.00036208517849445343,8.392832306213677,163.0
5,packing_seed_55291,55291,gnn,1,0.14863325508846237,0.11329851166994748,0.12601608422575022,0.18219071624693065,31.187297077166697,0.5128990084651784,17.947844516573653,-18.41886450075011,1,50,0.3698630136986301,0.0013107380364090204,8.98581761890091,64
5,packing_seed_55291,55291,gnn,2,0.14767622395441887,0.11329851166994748,0.12601608422575022,0.18219071624693065,30.342598307573464,0.49900728965722435,17.18839294344825,-18.944155335408443,1,50,0.35135135135135137,0.0013080390635877848,9.96179990307428,72
5,packing_seed_55291,55291,gnn,3,0.14632136330467777,0.11329851166994748,0.12601608422575022,0.18219071624693065,29.14676560882805,0.47934090420679026,16.113243959042457,-19.68780499970023,1,50,0.35135135135135137,0.001364376861602068,8.961680088890716,63
5,packing_seed_55291,55291,gnn,ensemble,0.14608437016500805,0.11329851166994748,0.12601608422575022,0.18219071624693065,28.937589745723958,0.4759008467848379,15.92517817273762,-19.817884701098688,1,50,0.3333333333333333,0.003983153961598873,27.909297610865906,66.33333333333333
6,packing_seed_64109,64109,mlp,1,0.13177976722425264,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.773514562128305,0.4131358678729097,9.655894023962496,-21.999280988844617,1,50,0.25,0.00011675595305860043,2.5654311599209905,147
6,packing_seed_64109,64109,mlp,2,0.13177976722425264,0.10561517617477682,0.12017572643697158,0.16894686215059884,24.773514562128305,0.4131358678729097,9.655894023962496,-21.999280988844617,1,50,0.25,0.00011878600344061852,3.3817831829655915,188
