case,method,overlap_floor_ratio,effective_conductivity_W_mK,change_vs_nominal_percent,energy_balance_error
packing_seed_117307,heat_path,1e-06,0.2417472563213092,0.0,3.6180836905625084e-14
packing_seed_117307,swap_optimized,1e-06,0.3391766861579462,0.0,4.091607642358099e-12
packing_seed_117307,mlp,1e-06,0.2672523329021978,0.0,2.889982589187858e-12
packing_seed_117307,gnn,1e-06,0.28759598977519524,0.0,5.7413603033209365e-12
packing_seed_126323,random_near_mean,1e-10,0.22723685293706009,0.0,3.1560296726117988e-12
packing_seed_126323,degree,1e-10,0.2332958481188258,0.0,2.6251326718947463e-12
packing_seed_126323,heat_path,1e-10,0.2464411277113596,0.0,3.8869151436744247e-13
packing_seed_126323,swap_optimized,1e-10,0.3407547956296546,0.0,1.1835599736880266e-12
packing_seed_126323,mlp,1e-10,0.26339593356008323,0.0,1.5960837315009297e-12
packing_seed_126323,gnn,1e-10,0.3135839562961448,0.0,7.212442134880965e-13
packing_seed_126323,random_near_mean,1e-08,0.22723685293706009,0.0,3.1560296726117988e-12
packing_seed_126323,degree,1e-08,0.2332958481188258,0.0,2.6251326718947463e-12
packing_seed_126323,heat_path,1e-08,0.2464411277113596,0.0,3.8869151436744247e-13
packing_seed_126323,swap_optimized,1e-08,0.3407547956296546,0.0,1.1835599736880266e-12
packing_seed_126323,mlp,1e-08,0.26339593356008323,0.0,1.5960837315009297e-12
packing_seed_126323,gnn,1e-08,0.3135839562961448,0.0,7.212442134880965e-13
packing_seed_126323,random_near_mean,1e-06,0.22723689297157135,1.7617965908378608e-05,2.245402098681997e-12
packing_seed_126323,degree,1e-06,0.2332958483876353,1.1522258702711952e-07,4.261698377660079e-12
packing_seed_126323,heat_path,1e-06,0.2464411400215968,4.99520405039533e-06,2.1254956123011e-12
packing_seed_126323,swap_optimized,1e-06,0.3407547967552247,3.30316729524327e-07,5.69175264604912e-13
packing_seed_126323,mlp,1e-06,0.2633959367950348,1.2281706540662185e-06,2.1901696358022295e-12
packing_seed_126323,gnn,1e-06,0.3135839756259087,6.16414312926139e-06,5.222182082145264e-13
packing_seed_135347,random_near_mean,1e-10,0.23141223867205013,0.0,3.598001616777433e-13
packing_seed_135347,degree,1e-10,0.2369809663594544,0.0,4.501649520324102e-13
packing_seed_135347,heat_path,1e-10,0.24254090442691667,0.0,4.3461062883529683e-13
packing_seed_135347,swap_optimized,1e-10,0.35303520859310933,0.0,1.697200553842048e-12
packing_seed_135347,mlp,1e-10,0.2845460297033303,0.0,7.514161743236906e-13
packing_seed_135347,gnn,1e-10,0.28257876592786,0.0,8.782621465709453e-13
packing_seed_135347,random_near_mean,1e-08,0.23141223867205013,0.0,3.598001616777433e-13
packing_seed_135347,degree,1e-08,0.2369809663594544,0.0,4.501649520324102e-13
packing_seed_135347,heat_path,1e-08,0.24254090442691667,0.0,4.3461062883529683e-13
packing_seed_135347,swap_optimized,1e-08,0.35303520859310933,0.0,1.697200553842048e-12
packing_seed_135347,mlp,1e-08,0.2845460297033303,0.0,7.514161743236906e-13
packing_seed_135347,gnn,1e-08,0.28257876592786,0.0,8.782621465709453e-13
packing_seed_135347,random_near_mean,1e-06,0.23141223905126845,1.638713387208668e-07,2.3505887175887243e-12
packing_seed_135347,degree,1e-06,0.2369809890039601,9.555411173423067e-06,1.1991697867280805e-12
packing_seed_135347,heat_path,1e-06,0.24254092349544643,7.861985085177992e-06,1.172029373999662e-12
packing_seed_135347,swap_optimized,1e-06,0.35303520888726797,8.332274870070933e-08,1.1863460633006462e-12
packing_seed_135347,mlp,1e-06,0.28454604609405076,5.7603054548494015e-06,4.3415154237700766e-12
packing_seed_135347,gnn,1e-06,0.2825787672648383,4.73134731393543e-07,7.911947722262024e-13
packing_seed_144359,random_near_mean,1e-10,0.22530765284486137,0.0,3.619098203950748e-14
packing_seed_144359,degree,1e-10,0.22821420070428072,0.0,7.882865412147854e-13
packing_seed_144359,heat_path,1e-10,0.2398117749422041,0.0,3.0825437999048487e-13
