method,effective_conductivity_W_mK,high_count,high_high_contact_count,high_cluster_count,largest_high_cluster_size,largest_high_cluster_fraction,spanning_high_cluster_count,largest_high_cluster_vertical_extent_ratio,high_particles_linked_to_hot_wall,high_particles_linked_to_cold_wall,high_incident_contact_heat_fraction,high_high_contact_heat_fraction,mean_vertical_alignment_high_high,heat_weighted_vertical_alignment_high_high,minimum_series_path_resistance_K_W,minimum_series_path_conductance_W_K,minimum_resistance_path_particle_count,minimum_resistance_path_high_count,minimum_resistance_path_high_fraction,minimum_resistance_path_atom_ids,relative_energy_balance_error,case
heat_path,0.2417472563213092,50,21,30,7,0.14,0,0.47666445619179115,0,0,0.41857290147718085,0.08006794961339353,0.6267316395153256,0.6998265341755112,8808.583225652832,0.00011352563452971029,9,4,0.4444444444444444,407 419 392 469 491 448 471 485 472,3.6180836905625084e-14,packing_seed_117307
swap_optimized,0.3391766861579462,50,57,6,29,0.58,2,1.0163654298445293,4,6,0.4861044672476459,0.35673375130447993,0.6584068948461194,0.7689965968059568,1489.5304365925651,0.0006713525117939785,8,8,1.0,429 416 403 402 448 471 485 441,4.091607642358099e-12,packing_seed_117307
mlp,0.2672523329021978,50,17,34,5,0.1,0,0.3696020389867478,7,3,0.41551716140484446,0.08856906756257185,0.6955788852430931,0.8494742573044595,6838.572847823038,0.00014622934086581176,10,7,0.7,407 419 392 469 458 497 486 220 214 242,2.889982589187858e-12,packing_seed_117307
gnn,0.28759598977519524,50,42,16,12,0.24,0,0.48742417737494476,12,3,0.3946343670767628,0.19213441101484788,0.6975587582150696,0.8090375928155704,5956.634158570695,0.00016788004322225352,9,6,0.6666666666666666,407 419 392 469 491 448 471 485 472,5.7413603033209365e-12,packing_seed_117307
random_near_mean,0.22723685293706009,50,14,36,4,0.08,0,0.17826346566318954,5,3,0.29682766188721116,0.033920969226066994,0.43442215840073295,0.5579579129204372,10671.253727509787,9.370970136546056e-05,8,2,0.25,393 402 407 389 477 473 466 500,3.1560296726117988e-12,packing_seed_126323
degree,0.2332958481188258,50,45,17,22,0.44,0,0.7233882380353132,0,0,0.37938963882569615,0.12341452643141454,0.5738219494572705,0.6870187494132312,8265.668650712465,0.00012098234786048486,13,10,0.7692307692307693,282 293 297 9 1 124 8 295 284 344 366 458 498,2.6251326718947463e-12,packing_seed_126323
heat_path,0.2464411277113596,50,30,23,12,0.24,0,0.7929843498650074,0,0,0.4344289759380222,0.1233385571185356,0.5985900726852188,0.7093341237901252,5073.940874919194,0.0001970854656472373,10,8,0.8,282 293 320 270 338 331 335 445 469 244,3.8869151436744247e-13,packing_seed_126323
swap_optimized,0.3407547956296546,50,62,4,31,0.62,2,1.0147043951677956,6,6,0.5056202225165497,0.3712200791969171,0.6364706097188889,0.738422653304439,1700.5312999522093,0.0005880515107414391,9,9,1.0,413 423 383 427 400 442 445 469 244,1.1835599736880266e-12,packing_seed_126323
mlp,0.26339593356008323,50,16,34,4,0.08,0,0.40928202861427915,10,5,0.4105602235627042,0.06673014579090435,0.5901860382491546,0.7470984680738351,8539.975053310072,0.00011709636079234243,10,6,0.6,282 293 320 270 338 331 335 445 469 244,1.5960837315009297e-12,packing_seed_126323
gnn,0.3135839562961448,50,54,11,21,0.42,1,1.0131784682639515,9,5,0.468688720175627,0.27758370338711746,0.6116821522075985,0.7600965145635277,1929.6162092026009,0.0005182377693713728,10,10,1.0,282 293 320 270 338 331 335 445 469 244,7.212442134880965e-13,packing_seed_126323
