atom_id_i,atom_id_j,high_endpoint_count,conductance_W_K,signed_heat_rate_i_to_j_W,absolute_heat_rate_W,vertical_alignment
19,106,0,0.00020039554896699648,2.8716771299639626e-05,2.8716771299639626e-05,0.6522803096646496
19,311,0,0.00023681700994047976,-2.390361187311167e-05,2.390361187311167e-05,0.7675426432451266
19,345,0,0.00027151456268913437,-1.2455844427814314e-05,1.2455844427814314e-05,0.37855208282751807
19,456,0,0.00022262851451584768,7.642685001245378e-06,7.642685001245378e-06,0.1391621825478259
20,24,0,0.00010231319944324348,3.7643820184895716e-06,3.7643820184895716e-06,0.4406605884029309
20,218,0,0.0001386079429395928,1.1643452044934102e-05,1.1643452044934102e-05,0.9822237117003392
20,349,0,0.0001972372509429356,7.4874405164329775e-06,7.4874405164329775e-06,0.46549375297618245
20,362,0,0.0002042295738588252,-1.0439209845432376e-05,1.0439209845432376e-05,0.5578039871015679
20,457,0,0.0001544453323783898,-1.245606473442028e-05,1.245606473442028e-05,0.5191079675617117
21,57,1,0.00023981368523282888,-6.0079759379471905e-06,6.0079759379471905e-06,0.22731023377464687
21,113,1,8.915134664069532e-05,-2.3941690164202356e-06,2.3941690164202356e-06,0.037772515101606736
21,168,1,0.00023225479641346034,7.929708071275574e-06,7.929708071275574e-06,0.5101973660426404
21,335,1,0.00014168599693359265,-1.6787928273652875e-05,1.6787928273652875e-05,0.7241893925856446
21,394,1,0.00028521983282523886,2.6740009036877127e-05,2.6740009036877127e-05,0.8019590402059279
21,423,1,0.00028034057744200883,-9.479643880121999e-06,9.479643880121999e-06,0.3586960453788708
22,384,2,0.0010835569419098347,3.4847819964524964e-06,3.4847819964524964e-06,0.23387841795445133
22,424,1,0.00021158503107649945,5.812538220703053e-06,5.812538220703053e-06,0.1615841171601931
22,494,1,9.939010037468637e-05,-9.29732021718512e-06,9.29732021718512e-06,0.798535273558652
23,49,1,0.00025406261105018674,4.5535859617714455e-06,4.5535859617714455e-06,0.10464583926209907
23,93,1,0.0003565357462778959,2.418880690264554e-05,2.418880690264554e-05,0.8115232870745541
23,349,1,0.0003211654086023486,1.729500946455047e-05,1.729500946455047e-05,0.5490118086997041
23,405,2,0.0019394942696170513,-3.145214238469855e-05,3.145214238469855e-05,0.36578167472369755
23,452,1,0.00026513573475495886,-2.2786194744252277e-06,2.2786194744252277e-06,0.30421024432328464
24,52,0,0.00015237196150460992,-6.030591841634372e-06,6.030591841634372e-06,0.5324085207265193
