atom_id,atom_type,x_m,y_m,z_m,radius_m,high_conductivity,temperature_K,contact_degree,absolute_heat_throughput_W,hot_wall_link,cold_wall_link,on_minimum_resistance_path
239,2,0.000977121,0.0145399,0.0126192,0.001,0,300.1896396785836,5,5.3818448900418037e-05,0,0,0
240,2,8.10685e-05,0.00346276,0.00800281,0.001,0,300.4965808103101,6,0.00010353932757133467,0,0,0
241,2,0.0111815,0.00982975,0.000890611,0.001,0,300.9298603735552,4,4.639597121314444e-05,1,0,0
242,2,0.01394,0.0142913,0.00637056,0.001,1,300.6254737032212,7,0.0006493515706407421,0,0,0
243,2,0.00707059,0.0141062,0.00170009,0.001,0,300.86641843566804,4,6.590787326831986e-05,0,0,0
244,2,0.0126739,0.00729969,0.000948025,0.001,0,300.9397568301576,7,3.487478307788043e-05,1,0,0
245,2,0.00599052,0.0152894,0.0138492,0.001,0,300.12350772042066,5,5.146248873695589e-05,0,0,0
246,2,0.00999666,0.00133732,0.0146069,0.001,1,300.0429109340919,3,0.00041715562117934836,0,1,0
247,2,0.00470948,0.0111967,0.008307,0.001,0,300.4677980143595,6,8.62223711849758e-05,0,0,0
248,2,0.00534896,0.0085551,0.0110848,0.001,1,300.25502541570745,7,0.00041781431990983785,0,0,0
249,2,0.00892562,0.0125508,0.00432971,0.001,0,300.71681673366527,6,8.405456785504969e-05,0,0,0
250,2,0.00356341,0.00181973,0.00533926,0.001,0,300.6666997316166,7,8.231981489587044e-05,0,0,0
251,2,0.00651834,0.00687967,0.00795518,0.001,1,300.3732827039623,5,0.00039936352297038506,0,0,0
252,2,0.00695671,0.00474392,0.00905735,0.001,0,300.39585386766686,5,7.783601758141734e-05,0,0,0
253,2,0.00801103,0.00791742,0.00315793,0.001,0,300.79356767494005,7,7.943787844718787e-05,0,0,0
254,2,0.00538342,0.0034238,0.0130372,0.001,0,300.1569373099939,7,5.891728251047905e-05,0,0,0
255,2,0.0048199,0.0124239,0.0116554,0.001,0,300.2539408545439,5,1.41940001106386e-05,0,0,0
256,2,0.0123629,0.00535672,0.000884611,0.001,0,300.9452148568349,6,4.207556940704433e-05,1,0,0
257,2,0.0123128,0.0136301,0.00500719,0.001,1,300.6625278599197,4,0.0003123113838718756,0,0,0
258,2,0.0132691,0.0093747,0.00311564,0.001,0,300.78590123913597,7,6.948353263734066e-05,0,0,0
259,2,0.00924009,0.00904139,0.0140747,0.001,0,300.0995200028543,6,8.09320322693555e-05,0,0,0
260,2,0.00240283,0.000843443,0.0102687,0.001,0,300.3833323689393,7,8.937719157739767e-05,0,0,0
261,2,0.00719036,0.00578893,0.00085116,0.001,0,300.92603888813414,6,6.369617896663464e-05,1,0,0
262,2,0.00873277,0.00988291,0.00393572,0.001,0,300.74165671787773,7,8.113104182229764e-05,0,0,0
263,2,0.0105733,0.0125735,0.00526755,0.001,0,300.6491232662155,6,6.425148812206433e-05,0,0,0
264,2,0.00210729,0.00779943,0.00900949,0.001,0,300.4011820493325,6,8.132797910230152e-05,0,0,0
265,2,0.010898,0.0143746,0.00316433,0.001,0,300.78958307635395,5,5.030202002458357e-05,0,0,0
266,2,0.000150276,0.00624099,0.00629367,0.001,0,300.62561753207206,6,0.0001335231799991599,0,0,0
